driver_number,lap_end,lap_start,stint_number,tyre_age_at_start,compound_HARD,compound_MEDIUM,compound_SOFT
37,5,1,1,0,0,1,0
46,3,1,1,0,0,1,0
50,9,1,1,0,0,1,0
31,9,1,1,0,0,1,0
5,9,1,1,0,1,0,0
30,4,1,1,0,1,0,0
7,6,1,1,0,1,0,0
72,10,1,1,0,1,0,0
38,9,1,1,0,1,0,0
12,3,1,1,0,1,0,0
44,9,1,1,0,1,0,0
10,8,1,1,0,0,1,0
22,9,1,1,0,0,1,0
4,6,1,1,0,0,1,0
18,8,1,1,0,1,0,0
27,11,1,1,0,1,0,0
34,6,1,1,0,1,0,0
23,6,1,1,0,0,1,0
81,6,1,1,0,0,1,0
6,4,1,1,0,1,0,0
30,7,4,2,3,1,0,0
6,7,4,2,3,1,0,0
7,9,6,2,5,1,0,0
23,12,6,2,5,0,1,0
81,9,6,2,5,0,1,0
46,6,3,2,2,0,1,0
30,13,7,3,6,1,0,0
37,11,5,2,4,0,1,0
10,11,8,2,7,0,1,0
18,13,8,2,7,1,0,0
6,10,7,3,6,1,0,0
7,11,9,3,8,1,0,0
4,11,6,2,5,0,1,0
46,7,6,3,5,0,1,0
22,11,9,2,0,0,1,0
46,8,7,4,6,0,1,0
34,14,6,2,5,1,0,0
72,16,10,2,0,0,1,0
23,13,12,3,11,0,1,0
5,12,9,2,0,0,0,1
27,14,11,2,0,0,0,1
50,12,9,2,0,0,0,1
46,10,8,5,7,0,1,0
37,14,11,3,10,0,1,0
81,12,9,3,0,0,0,1
44,17,9,2,8,1,0,0
6,13,10,4,0,0,0,1
31,12,9,2,0,0,0,1
5,15,12,3,3,0,0,1
30,16,13,4,0,0,0,1
7,14,11,4,0,0,0,1
22,16,11,3,0,0,0,1
23,16,13,4,0,0,0,1
10,14,11,3,0,0,0,1
27,16,14,3,0,0,0,1
50,15,12,3,0,0,0,1
18,19,13,3,0,0,0,1
38,13,9,2,8,1,0,0
46,12,10,6,0,0,1,0
31,14,12,3,3,0,0,1
7,17,14,5,3,0,0,1
23,19,16,5,3,0,0,1
10,17,14,4,3,0,0,1
81,22,12,4,8,0,1,0
30,19,16,5,0,0,0,1
6,16,13,5,3,0,0,1
4,23,11,3,0,0,0,1
46,13,12,7,11,0,1,0
37,17,14,4,0,0,1,0
46,14,13,8,12,0,1,0
72,26,16,3,6,0,1,0
34,17,14,3,0,0,0,1
5,23,15,4,6,0,0,1
27,24,16,4,10,1,0,0
38,20,13,3,0,0,0,1
22,23,16,4,10,0,1,0
44,23,17,3,0,0,0,1
37,20,17,5,3,0,1,0
46,20,14,9,0,0,0,1
7,23,17,6,10,1,0,0
10,23,17,5,6,0,0,1
6,17,16,6,9,1,0,0
23,24,19,6,12,0,1,0
50,20,15,4,8,0,1,0
31,19,14,4,8,0,1,0
6,22,17,7,10,1,0,0
34,19,17,4,0,0,0,1
18,23,19,4,6,0,0,1
30,23,19,6,0,0,0,1
81,25,22,5,0,0,0,1
