duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,lap_number,segments_sector_1,segments_sector_2,segments_sector_3,st_speed,stint_number,lap_start,lap_end,tyre_age_at_start,compound_HARD,compound_MEDIUM,compound_SOFT,air_temperature,humidity,pressure,rainfall,track_temperature,wind_direction,wind_speed,laps_since_stint_start,stint_avg_pace,fuel_corrected_pace
-0.5213980519321181,-0.5788191427683669,-0.6658335436524069,0.7047901600903493,0.6943801542662319,2,,,,0.320265078994493,1.0,1.0,5.0,0.0,0.0,1.0,0.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,2.0,-0.7189419232122758,-0.5546166415537497
-0.0364638669945463,1.7406619848357707,0.3640140391096207,-0.4392779913304645,-0.9111374565902494,2,10.0,11.0,7.0,-0.1798038132985286,1.0,1.0,3.0,0.0,0.0,1.0,0.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,2.0,,0.9131847733871373
-0.6779848355890568,-0.776394548036864,-0.7492237314784768,0.7435721313249531,0.8165391029183554,2,,,7.0,0.6996276869409233,1.0,1.0,9.0,0.0,0.0,1.0,0.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,2.0,0.016935629056475516,-0.5926675818225666
-0.7128218035127336,-0.7091418156499119,-0.6615861656646612,0.8211360737941609,0.8339903812972302,2,,,6.0,0.9237965007274502,3.0,7.0,10.0,0.0,0.0,0.0,1.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,1.0,0.27628852089244654,-0.5182050052256608
-0.7128218035127336,-0.7091418156499119,-0.6615861656646612,0.8211360737941609,0.8339903812972302,2,,,6.0,0.9237965007274502,3.0,10.0,11.0,0.0,0.0,0.0,1.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,1.0,0.27628852089244654,-0.4832050052256608
-0.7128218035127336,-0.7091418156499119,-0.6615861656646612,0.8211360737941609,0.8339903812972302,2,,,6.0,0.9237965007274502,3.0,12.0,15.0,3.0,0.0,0.0,1.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,1.0,0.27628852089244654,-0.3432050052256608
-0.7022270555359451,-0.7918954826967834,-0.7448347742244733,0.7823541025595571,0.9736006083282286,2,,11.0,6.0,0.941040255634106,3.0,11.0,16.0,0.0,0.0,0.0,1.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,1.0,0.6800994824496805,-0.36373797457563567
-0.7723499213823153,-0.8733369013068367,-0.7885827674982522,0.762963116942255,0.9212467731916042,2,10.0,11.0,6.0,0.8720652360074824,3.0,12.0,18.0,8.0,0.0,1.0,0.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,1.0,0.7388123048036751,-0.3719497224836805
-0.7022270555359451,-0.7918954826967834,-0.7448347742244733,0.7823541025595571,0.9736006083282286,2,,11.0,6.0,0.941040255634106,3.0,8.0,12.0,0.0,0.0,0.0,1.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,1.0,0.6800994824496805,-0.5037379745756356
-0.7022270555359451,-0.7918954826967834,-0.7448347742244733,0.7823541025595571,0.9736006083282286,2,,11.0,6.0,0.941040255634106,3.0,7.0,8.0,6.0,1.0,0.0,0.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,1.0,0.6800994824496805,-0.6437379745756358
-0.1542630987364632,0.241582176825148,-0.4364751323141493,-2.39776753867796,-0.3352452700873811,2,,11.0,7.0,0.9237965007274502,3.0,11.0,14.0,0.0,0.0,0.0,1.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,1.0,0.31122192830749185,0.35033198212901284
-0.8418381564278351,-0.8560780134155007,-0.9946729176487032,0.9242412390399122,1.0814687206674538,2,10.0,11.0,7.0,0.9251224980509736,3.0,14.0,16.0,0.0,0.0,0.0,1.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,1.0,0.06448655974218387,-0.5437225060327258
-0.8827980829842725,-0.8810903947781314,-0.9796467434708322,0.9242412390399122,1.0642080276554442,2,10.0,11.0,6.0,0.9095309838005148,2.0,10.0,13.0,0.0,0.0,0.0,1.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,1.0,1.2149010047603062,-0.6738252533640059
-0.8757655201880399,-0.9243008869398543,-1.0450033068852602,0.9042230185712116,1.0987294136794632,2,10.0,11.0,7.0,0.800390384047303,3.0,8.0,11.0,0.0,0.0,0.0,1.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,1.0,0.5941345891611264,-0.7796358913537852
-0.8757655201880399,-0.9243008869398543,-1.0450033068852602,0.9042230185712116,1.0987294136794632,2,10.0,11.0,7.0,0.800390384047303,3.0,9.0,12.0,0.0,0.0,0.0,1.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,1.0,0.5941345891611264,-0.7446358913537852
-0.8574238361384053,-0.8944784322382568,-1.0585706292012018,0.8842047981025107,1.0814687206674538,2,10.0,11.0,7.0,0.800390384047303,3.0,11.0,23.0,0.0,0.0,0.0,1.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,1.0,0.4120606297044023,-0.34112261519696574
-0.8574238361384053,-0.8944784322382568,-1.0585706292012018,0.8842047981025107,1.0814687206674538,2,10.0,11.0,7.0,0.800390384047303,3.0,11.0,26.0,3.0,0.0,0.0,1.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,1.0,0.4120606297044023,-0.23612261519696576
-0.8574238361384053,-0.8944784322382568,-1.0585706292012018,0.8842047981025107,1.0814687206674538,2,10.0,11.0,7.0,0.800390384047303,3.0,11.0,13.0,0.0,0.0,0.0,1.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,1.0,0.4120606297044023,-0.6911226151969658
0.3841086012938376,3.2165309147991854,1.2205936346907815,-1.8582914061094888,-1.6802421612540623,2,10.0,11.0,6.0,0.9407140123014324,2.0,4.0,7.0,3.0,0.0,0.0,1.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,1.0,0.10467136846975222,2.2354264408037956
0.3841086012938376,3.2165309147991854,1.2205936346907815,-1.8582914061094888,-1.6802421612540623,2,10.0,11.0,6.0,0.9407140123014324,2.0,6.0,8.0,5.0,0.0,1.0,0.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,1.0,0.10467136846975222,2.2704264408037957
