air_temperature,date,humidity,pressure,rainfall,track_temperature,wind_direction,wind_speed
-1.0442911924132594,2025-02-26 06:46:42.313000+00:00,0.267531043144053,2.670448779468032,0.0,0.17873959373376563,76,-0.6775595529837853
-0.96920831570677,2025-02-26 06:47:42.314000+00:00,0.267531043144053,2.670448779468032,0.0,0.236100499103539,30,-1.9549186666990792
-0.96920831570677,2025-02-26 06:48:42.317000+00:00,0.09766663737207283,2.670448779468032,0.0,0.236100499103539,45,-0.5614359971914861
-0.96920831570677,2025-02-26 06:49:42.317000+00:00,-0.07219776839990738,2.670448779468032,0.0,0.21698019731361434,23,-0.44531244139918646
-0.96920831570677,2025-02-26 06:50:42.315000+00:00,-0.07219776839990738,2.670448779468032,0.0,0.19785989552368966,49,0.1353053375623107
-0.96920831570677,2025-02-26 06:51:42.316000+00:00,-0.07219776839990738,2.6066650137222855,0.0,0.17873959373376563,330,-0.9098066645683841
-0.8941254390002805,2025-02-26 06:52:42.318000+00:00,-0.07219776839990738,2.670448779468032,0.0,0.15961929194384095,28,-0.32918888560688697
-0.8941254390002805,2025-02-26 06:53:42.319000+00:00,-0.07219776839990738,2.6066650137222855,0.0,0.10225838657406759,60,-0.09694177402228839
-0.8941254390002805,2025-02-26 06:54:42.319000+00:00,-0.07219776839990738,2.542881247976467,0.0,0.10225838657406759,37,-0.32918888560688697
-0.8941254390002805,2025-02-26 06:55:42.330000+00:00,-0.07219776839990738,2.542881247976467,0.0,0.14049899015391695,21,-0.32918888560688697
-0.8190425622937911,2025-02-26 06:56:42.320000+00:00,-0.07219776839990738,2.542881247976467,0.0,0.15961929194384095,10,-0.6775595529837853
-0.8941254390002805,2025-02-26 06:57:42.320000+00:00,-0.24206217417188758,2.542881247976467,0.0,0.19785989552368966,15,-0.9098066645683841
-0.8190425622937911,2025-02-26 06:58:42.323000+00:00,-0.24206217417188758,2.542881247976467,0.0,0.236100499103539,16,0.1353053375623107
-0.8190425622937911,2025-02-26 06:59:42.323000+00:00,-0.4119265799438678,2.542881247976467,0.0,0.255220800893463,15,-0.6775595529837853
-0.8190425622937911,2025-02-26 07:00:42.322000+00:00,-0.4119265799438678,2.6066650137222855,0.0,0.3317020080531611,61,-0.6775595529837853
-0.8190425622937911,2025-02-26 07:01:42.323000+00:00,-0.4119265799438678,2.4790974822306477,0.0,0.3317020080531611,69,0.36755244914690977
-0.8941254390002805,2025-02-26 07:02:42.324000+00:00,-0.4119265799438678,2.542881247976467,0.0,0.3317020080531611,5,1.4126644512776045
-0.8941254390002805,2025-02-26 07:03:42.325000+00:00,-0.24206217417188758,2.542881247976467,0.0,0.38906291342293375,48,0.4836760049392088
-0.8941254390002805,2025-02-26 07:04:42.323000+00:00,-0.24206217417188758,2.542881247976467,0.0,0.42730351700278313,21,-0.5614359971914861
-0.7439596855873017,2025-02-26 07:05:42.326000+00:00,-0.4119265799438678,2.542881247976467,0.0,0.46554412058263184,50,-0.9098066645683841
-0.7439596855873017,2025-02-26 07:05:56.184000+00:00,-0.4119265799438678,2.4790974822306477,0.0,0.5420253277423293,31,0.019181781770011154
-0.668876808880811,2025-02-26 07:06:53.825000+00:00,-0.4119265799438678,2.542881247976467,0.0,0.5802659313221779,9,-0.09694177402228839
-0.7439596855873017,2025-02-26 07:07:53.827000+00:00,-0.4119265799438678,2.6066650137222855,0.0,0.5802659313221779,61,0.36755244914690977
-0.7439596855873017,2025-02-26 07:08:53.827000+00:00,-0.4119265799438678,2.542881247976467,0.0,0.5420253277423293,59,0.2514288933546102
-0.8190425622937911,2025-02-26 07:09:53.831000+00:00,-0.24206217417188758,2.4790974822306477,0.0,0.5420253277423293,33,0.8320466723161074
-0.8190425622937911,2025-02-26 07:10:53.828000+00:00,-0.24206217417188758,2.4790974822306477,0.0,0.6376268366919513,8,0.2514288933546102
-0.8190425622937911,2025-02-26 07:11:53.829000+00:00,-0.24206217417188758,2.4790974822306477,0.0,0.6376268366919513,8,0.2514288933546102
-0.7439596855873017,2025-02-26 07:12:53.829000+00:00,-0.4119265799438678,2.4153137164848286,0.0,0.6376268366919513,75,-0.6775595529837853
-0.668876808880811,2025-02-26 07:13:53.830000+00:00,-0.4119265799438678,2.4153137164848286,0.0,0.6185065349020272,34,0.4836760049392088
-0.7439596855873017,2025-02-26 07:14:53.846000+00:00,-0.4119265799438678,2.4153137164848286,0.0,0.48466442237255586,87,0.1353053375623107
-0.8190425622937911,2025-02-26 07:15:53.831000+00:00,-0.24206217417188758,2.35152995073901,0.0,0.46554412058263184,64,-0.44531244139918646
-0.8190425622937911,2025-02-26 07:16:53.832000+00:00,-0.07219776839990738,2.35152995073901,0.0,0.46554412058263184,26,-0.5614359971914861
-0.8190425622937911,2025-02-26 07:17:53.833000+00:00,-0.07219776839990738,2.35152995073901,0.0,0.48466442237255586,20,0.2514288933546102
-0.8190425622937911,2025-02-26 07:18:53.833000+00:00,-0.24206217417188758,2.2877461849932637,0.0,0.5611456295322539,38,0.36755244914690977
-0.7439596855873017,2025-02-26 07:19:53.836000+00:00,-0.07219776839990738,2.35152995073901,0.0,0.5229050259524052,13,-0.5614359971914861
-0.7439596855873017,2025-02-26 07:20:53.835000+00:00,-0.07219776839990738,2.2877461849932637,0.0,0.48466442237255586,12,1.1804173396930056
-0.7439596855873017,2025-02-26 07:21:53.836000+00:00,-0.24206217417188758,2.2877461849932637,0.0,0.46554412058263184,38,-0.32918888560688697
