date_start,driver_number,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,is_pit_out_lap,lap_duration,lap_number,meeting_key,segments_sector_1,segments_sector_2,segments_sector_3,session_key,st_speed
,37,,52.347,26.662,190,220,True,,1,1257,,,,10007,117
2025-04-11 11:30:13.180000+00:00,46,,53.131,25.395,231,242,True,,1,1257,,,,10007,73
2025-04-11 11:30:17.751000+00:00,50,,54.027,27.175,187,181,True,,1,1257,,,,10007,74
2025-04-11 11:30:20.427000+00:00,31,,65.25,30.305,128,155,True,,1,1257,,,,10007,47
2025-04-11 11:30:22.526000+00:00,5,,49.6,28.675,204,206,True,,1,1257,,,,10007,85
2025-04-11 11:30:26.445000+00:00,30,,58.498,31.199,168,173,True,,1,1257,,,,10007,32
2025-04-11 11:30:45.063000+00:00,7,,55.187,29.982,175,158,True,,1,1257,,,,10007,65
2025-04-11 11:30:48.506000+00:00,72,,53.126,36.285,210,201,True,,1,1257,,,,10007,50
2025-04-11 11:30:51.531000+00:00,38,,54.428,33.461,161,189,True,,1,1257,,,,10007,37
2025-04-11 11:30:53.691000+00:00,12,,52.152,31.243,164,187,True,,1,1257,,,,10007,66
2025-04-11 11:31:02.772000+00:00,44,,46.249,31.657,214,238,True,,1,1257,,,,10007,111
2025-04-11 11:31:06.865000+00:00,10,,53.464,32.669,164,185,True,,1,1257,,,,10007,58
2025-04-11 11:31:11.266000+00:00,22,,55.548,26.352,135,180,True,,1,1257,,,,10007,80
2025-04-11 11:31:15.228000+00:00,4,,56.155,39.985,201,172,True,,1,1257,,,,10007,62
2025-04-11 11:31:18.280000+00:00,18,,53.16,35.696,158,145,True,,1,1257,,,,10007,86
2025-04-11 11:31:23.998000+00:00,27,,72.391,28.011,146,181,True,,1,1257,,,,10007,97
2025-04-11 11:31:25.772000+00:00,34,,53.785,42.589,195,164,True,,1,1257,,,,10007,102
2025-04-11 11:31:36.096000+00:00,23,,57.899,37.918,188,175,True,,1,1257,,,"[None, None, None, None, None, None, 2051]",10007,65
2025-04-11 11:31:40.178000+00:00,81,,51.473,38.33,182,170,True,,1,1257,,,"[None, None, None, None, None, 2051, 2051]",10007,74
2025-04-11 11:32:08.656000+00:00,37,33.146,45.033,24.918,230,250,False,103.097,2,1257,,,,10007,286
2025-04-11 11:32:11.474000+00:00,6,,68.3,31.86,118,138,True,,1,1257,,,"[None, None, 2049, 2049, 2049, 2049, 2049]",10007,152
2025-04-11 11:32:15.412000+00:00,46,38.547,73.314,32.192,171,158,False,144.053,2,1257,"[2049, 2049, 2049, 2049, 2049, 2049, 2048, 2048, 2048, 2048]","[2048, 2048, 2049, 2048, 2048, 2049, 2049, 2049, 2048, 2048, 2048]","[2048, 2048, 2048, 2048, 2048, 2048, 2064]",10007,257
2025-04-11 11:32:29.145000+00:00,50,31.402,42.624,24.329,232,257,False,98.355,2,1257,,,"[None, None, None, None, None, None, 2051]",10007,308
2025-04-11 11:32:36.385000+00:00,5,31.014,43.444,24.948,236,258,False,99.406,2,1257,,,"[None, None, None, None, None, 2049]",10007,321
2025-04-11 11:32:50.413000+00:00,31,30.624,41.863,24.092,232,258,False,96.579,2,1257,,,"[None, 2049, 2049, 2049, 2051, 2049]",10007,306
2025-04-11 11:32:58.879000+00:00,30,31.277,42.85,24.134,234,263,False,98.261,2,1257,,"[None, None, None, None, None, None, None, None, None, 2049, 2049]","[2049, 2051, 2049, 2049, 2049, 2049, 2049]",10007,320
2025-04-11 11:33:05.080000+00:00,7,30.658,44.146,24.892,231,256,False,99.696,2,1257,,"[None, None, None, None, None, None, None, 2049, 2049, 2049, 2049]","[2051, 2049, 2049, 2049, 2049, 2049]",10007,320
2025-04-11 11:33:09.137000+00:00,44,30.632,41.83,24.237,233,267,False,96.699,2,1257,,"[None, None, None, None, None, None, 2051, 2049, 2051, 2051, 2051]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10007,321
2025-04-11 11:33:13.684000+00:00,72,33.463,43.978,24.15,233,254,False,101.591,2,1257,,"[None, None, None, None, None, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2051, 2051, 2049, 2049, 2049]",10007,323
2025-04-11 11:33:19.813000+00:00,38,31.731,43.934,24.278,237,252,False,99.943,2,1257,,"[None, None, None, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",10007,302
2025-04-11 11:33:26.604000+00:00,10,37.235,55.036,26.538,70,191,False,118.809,2,1257,,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049]",10007,321
2025-04-11 11:33:33.496000+00:00,22,31.132,42.435,24.36,234,266,False,97.927,2,1257,,"[None, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",10007,322
2025-04-11 11:33:39.701000+00:00,12,30.198,42.863,24.99,237,264,False,98.051,2,1257,"[None, None, None, None, None, None, None, None, None, 2049]","[2049, 2049, 2049, 2049, 2049, 2049, 2049, 2051, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",10007,322
2025-04-11 11:33:46.460000+00:00,18,31.438,42.931,24.359,228,256,False,98.728,2,1257,"[None, None, None, None, None, None, None, 2049, 2049, 2049]","[2049, 2049, 2049, 2051, 2049, 2049, 2049, 2049, 2049, 2049, 2049]","[2049, 2049, 2049, 2049, 2049, 2049]",10007,304
