brake,date,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle
0,2025-04-12 12:17:42.188000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:42.628000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:42.788000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:42.988000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:43.228000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:43.388000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:43.708000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:43.908000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:44.068000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:44.308000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:44.588000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:44.908000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:45.068000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:45.228000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:45.508000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:45.668000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:45.868000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:46.068000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:46.508000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:46.747000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:46.907000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:47.307000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:47.467000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:47.707000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:47.867000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:48.187000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:48.347000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:48.547000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:48.788000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:48.948000+00:00,44,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:49.188000+00:00,44,0,1257,0,0,10009,0,0
