brake,date,driver_number,drs,meeting_key,n_gear,rpm,session_key,speed,throttle
0,2025-04-12 12:17:42.188000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:42.628000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:42.788000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:42.988000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:43.228000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:43.388000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:43.708000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:43.908000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:44.068000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:44.308000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:44.588000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:44.908000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:45.068000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:45.228000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:45.508000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:45.668000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:45.868000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:46.068000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:46.508000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:46.747000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:46.907000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:47.307000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:47.467000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:47.707000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:47.867000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:48.187000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:48.347000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:48.547000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:48.788000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:48.948000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:49.188000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:49.388000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:49.548000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:49.908000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:50.228000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:50.388000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:50.708000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:50.988000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:51.308000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:51.748000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:52.148000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:52.588000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:52.868000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:53.068000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:53.307000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:53.547000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:53.707000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:53.867000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:54.067000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:54.267000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:54.587000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:55.067000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:55.227000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:55.428000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:55.628000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:55.828000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:55.988000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:56.268000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:56.668000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:56.868000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:57.028000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:57.228000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:57.468000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:57.668000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:57.828000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:58.148000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:58.388000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:58.828000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:59.148000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:59.388000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:59.708000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:17:59.988000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:00.227000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:00.427000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:00.628000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:00.787000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:00.987000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:01.187000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:01.347000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:01.707000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:01.948000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:02.188000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:02.428000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:02.708000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:02.868000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:03.148000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:03.388000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:03.748000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:04.108000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:04.428000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:04.788000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:05.228000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:05.468000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:05.828000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:06.028000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:06.228000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:06.428000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:06.827000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:07.107000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:07.467000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:07.707000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:07.987000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:08.187000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:08.428000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:08.628000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:08.988000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:09.228000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:09.508000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:09.748000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:10.228000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:10.588000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:10.748000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:10.948000+00:00,16,0,1257,0,0,10009,0,0
0,2025-04-12 12:18:11.308000+00:00,16,0,1257,0,0,10009,0,0
