date_start,driver_number,duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,lap_duration,lap_number,segments_sector_1,segments_sector_2,segments_sector_3,st_speed
2025-04-11 11:32:08.656000+00:00,37,-0.5213980519321181,-0.5788191427683669,-0.6658335436524069,0.7047901600903493,0.6943801542662319,-0.6596166415537497,2,,,,0.320265078994493
2025-04-11 11:32:15.412000+00:00,46,-0.0364638669945463,1.7406619848357707,0.3640140391096207,-0.4392779913304645,-0.9111374565902494,0.8781847733871373,2,10.0,11.0,7.0,-0.17980381329852863
2025-04-11 11:32:29.145000+00:00,50,-0.6779848355890568,-0.776394548036864,-0.7492237314784768,0.7435721313249531,0.8165391029183554,-0.8376675818225666,2,,,7.0,0.6996276869409233
2025-04-11 11:32:36.385000+00:00,5,-0.7128218035127336,-0.7091418156499119,-0.6615861656646612,0.8211360737941609,0.8339903812972302,-0.7982050052256608,2,,,6.0,0.9237965007274502
2025-04-11 11:32:58.879000+00:00,30,-0.6892080855644681,-0.7578590388668016,-0.7768316883988227,0.7823541025595571,0.9212467731916042,-0.841197060604783,2,,11.0,7.0,0.9065527458207943
2025-04-11 11:33:05.080000+00:00,7,-0.7447856194427048,-0.6515669154844969,-0.6695146045751196,0.7241811457076512,0.7990878245394806,-0.7873161877060582,2,,11.0,6.0,0.9065527458207943
2025-04-11 11:33:09.137000+00:00,44,-0.7471200554375904,-0.8415148767139863,-0.76224902397423,0.762963116942255,0.9910518867071034,-0.8998464846241615,2,,11.0,7.0,0.9237965007274502
2025-04-11 11:33:13.684000+00:00,72,-0.49293588999447496,-0.6653455240710919,-0.7745664201386919,0.762963116942255,0.764185267781731,-0.7161633973624462,2,,11.0,7.0,0.9582840105407621
2025-04-11 11:33:19.813000+00:00,38,-0.6484452416537742,-0.6689542072723433,-0.7564442740576445,0.8405270594114628,0.7292827110239815,-0.7780419189910861,2,,11.0,6.0,0.5961651575009878
2025-04-11 11:33:26.604000+00:00,10,-0.15426309873646327,0.24158217682514804,-0.4364751323141493,-2.3977675386779596,-0.3352452700873811,-0.0696680178709872,2,,11.0,7.0,0.9237965007274502
2025-04-11 11:33:33.496000+00:00,22,-0.7022270555359451,-0.7918954826967834,-0.7448347742244733,0.7823541025595571,0.9736006083282286,-0.8537379745756357,2,,11.0,6.0,0.9410402556341061
2025-04-11 11:33:39.701000+00:00,12,-0.7860871793522186,-0.7567928370118867,-0.6556398364818178,0.8405270594114628,0.938698051570479,-0.8490820663948402,2,10.0,11.0,6.0,0.9410402556341061
2025-04-11 11:33:46.460000+00:00,18,-0.6747525395961385,-0.751215781155408,-0.7449763534907311,0.6660081888557454,0.7990878245394806,-0.8236623096335605,2,10.0,11.0,6.0,0.6306526673142996
2025-04-11 11:33:51.705000+00:00,37,-0.5738330758172401,-0.6483683099197515,-0.686787275058618,0.7435721313249531,0.851441659676105,-0.7189419232122758,3,10.0,11.0,7.0,0.47545887315439633
2025-04-11 11:33:54.976000+00:00,34,-0.644045727663413,-0.7193117410352561,-0.6965562444304325,0.801745088176859,0.851441659676105,-0.7833736848110294,2,10.0,11.0,6.0,0.7341151967542351
2025-04-11 11:33:59.537000+00:00,27,-0.009168923054345796,0.2880849808049064,-0.4051861144710907,-1.2924813584917494,-0.7366246728015013,0.020596524601858943,2,10.0,11.0,6.0,0.9237965007274502
2025-04-11 11:34:02.831000+00:00,4,-0.7863565373516285,-0.8600503858840487,-0.8135007183596922,0.8599180450287647,0.9037954948127294,-0.9383328224089645,2,10.0,11.0,6.0,0.8893089909141384
2025-04-11 11:34:07.349000+00:00,50,0.4908493098501794,0.8969682554887267,-0.4584199185841679,-1.3312633297263532,-0.684270837664877,0.4943351819978253,3,10.0,11.0,7.0,-0.47294764671167927
