compound,driver_number,lap_end,lap_start,meeting_key,session_key,stint_number,tyre_age_at_start
MEDIUM,37,5,1,1257,10007,1,0
MEDIUM,46,3,1,1257,10007,1,0
MEDIUM,50,9,1,1257,10007,1,0
MEDIUM,31,9,1,1257,10007,1,0
HARD,5,9,1,1257,10007,1,0
HARD,30,4,1,1257,10007,1,0
HARD,7,6,1,1257,10007,1,0
HARD,72,10,1,1257,10007,1,0
HARD,38,9,1,1257,10007,1,0
HARD,12,3,1,1257,10007,1,0
HARD,44,9,1,1257,10007,1,0
MEDIUM,10,8,1,1257,10007,1,0
MEDIUM,22,9,1,1257,10007,1,0
MEDIUM,4,6,1,1257,10007,1,0
HARD,18,8,1,1257,10007,1,0
HARD,27,11,1,1257,10007,1,0
HARD,34,6,1,1257,10007,1,0
MEDIUM,23,6,1,1257,10007,1,0
MEDIUM,81,6,1,1257,10007,1,0
HARD,6,4,1,1257,10007,1,0
HARD,30,7,4,1257,10007,2,3
HARD,6,7,4,1257,10007,2,3
HARD,7,9,6,1257,10007,2,5
MEDIUM,23,12,6,1257,10007,2,5
MEDIUM,81,9,6,1257,10007,2,5
MEDIUM,46,6,3,1257,10007,2,2
HARD,30,13,7,1257,10007,3,6
MEDIUM,37,11,5,1257,10007,2,4
MEDIUM,10,11,8,1257,10007,2,7
HARD,18,13,8,1257,10007,2,7
HARD,6,10,7,1257,10007,3,6
HARD,7,11,9,1257,10007,3,8
MEDIUM,4,11,6,1257,10007,2,5
MEDIUM,46,7,6,1257,10007,3,5
MEDIUM,22,11,9,1257,10007,2,0
MEDIUM,46,8,7,1257,10007,4,6
HARD,34,14,6,1257,10007,2,5
MEDIUM,72,16,10,1257,10007,2,0
MEDIUM,23,13,12,1257,10007,3,11
SOFT,5,12,9,1257,10007,2,0
SOFT,27,14,11,1257,10007,2,0
SOFT,50,12,9,1257,10007,2,0
MEDIUM,46,10,8,1257,10007,5,7
MEDIUM,37,14,11,1257,10007,3,10
SOFT,81,12,9,1257,10007,3,0
HARD,44,17,9,1257,10007,2,8
SOFT,6,13,10,1257,10007,4,0
SOFT,31,12,9,1257,10007,2,0
SOFT,5,15,12,1257,10007,3,3
SOFT,30,16,13,1257,10007,4,0
SOFT,7,14,11,1257,10007,4,0
SOFT,22,16,11,1257,10007,3,0
SOFT,23,16,13,1257,10007,4,0
SOFT,10,14,11,1257,10007,3,0
SOFT,27,16,14,1257,10007,3,0
SOFT,50,15,12,1257,10007,3,0
SOFT,18,19,13,1257,10007,3,0
HARD,38,13,9,1257,10007,2,8
MEDIUM,46,12,10,1257,10007,6,0
SOFT,31,14,12,1257,10007,3,3
SOFT,7,17,14,1257,10007,5,3
SOFT,23,19,16,1257,10007,5,3
SOFT,10,17,14,1257,10007,4,3
MEDIUM,81,22,12,1257,10007,4,8
SOFT,30,19,16,1257,10007,5,0
SOFT,6,16,13,1257,10007,5,3
SOFT,4,23,11,1257,10007,3,0
MEDIUM,46,13,12,1257,10007,7,11
MEDIUM,37,17,14,1257,10007,4,0
MEDIUM,46,14,13,1257,10007,8,12
MEDIUM,72,26,16,1257,10007,3,6
SOFT,34,17,14,1257,10007,3,0
SOFT,5,23,15,1257,10007,4,6
HARD,27,24,16,1257,10007,4,10
SOFT,38,20,13,1257,10007,3,0
MEDIUM,22,23,16,1257,10007,4,10
SOFT,44,23,17,1257,10007,3,0
MEDIUM,37,20,17,1257,10007,5,3
SOFT,46,20,14,1257,10007,9,0
HARD,7,23,17,1257,10007,6,10
SOFT,10,23,17,1257,10007,5,6
HARD,6,17,16,1257,10007,6,9
MEDIUM,23,24,19,1257,10007,6,12
MEDIUM,50,20,15,1257,10007,4,8
MEDIUM,31,19,14,1257,10007,4,8
HARD,6,22,17,1257,10007,7,10
SOFT,34,19,17,1257,10007,4,0
SOFT,18,23,19,1257,10007,4,6
SOFT,30,23,19,1257,10007,6,0
SOFT,81,25,22,1257,10007,5,0
