compound,driver_number,lap_end,lap_start,meeting_key,session_key,stint_number,tyre_age_at_start
HARD,87,4,1,1257,10009,1,0
HARD,31,4,1,1257,10009,1,0
SOFT,44,3,1,1257,10009,1,3
SOFT,44,6,3,1257,10009,2,5
HARD,87,7,4,1257,10009,2,3
SOFT,16,4,1,1257,10009,1,3
HARD,31,7,4,1257,10009,2,3
MEDIUM,7,4,1,1257,10009,1,0
MEDIUM,10,4,1,1257,10009,1,0
SOFT,5,4,1,1257,10009,1,0
HARD,22,4,1,1257,10009,1,0
SOFT,4,4,1,1257,10009,1,0
SOFT,27,4,1,1257,10009,1,0
SOFT,1,3,1,1257,10009,1,0
MEDIUM,7,7,4,1257,10009,2,3
SOFT,18,4,1,1257,10009,1,0
SOFT,14,10,1,1257,10009,1,0
MEDIUM,10,7,4,1257,10009,2,0
SOFT,81,4,1,1257,10009,1,0
SOFT,16,7,4,1257,10009,2,6
HARD,55,4,1,1257,10009,1,0
HARD,87,13,7,1257,10009,3,6
HARD,23,4,1,1257,10009,1,0
HARD,22,7,4,1257,10009,2,3
SOFT,27,7,4,1257,10009,2,3
SOFT,4,11,4,1257,10009,2,3
MEDIUM,6,4,1,1257,10009,1,0
MEDIUM,30,4,1,1257,10009,1,0
MEDIUM,12,4,1,1257,10009,1,0
MEDIUM,7,10,7,1257,10009,3,6
SOFT,18,10,4,1257,10009,2,0
MEDIUM,10,10,7,1257,10009,3,6
SOFT,81,8,4,1257,10009,2,3
SOFT,44,13,6,1257,10009,3,0
SOFT,5,7,4,1257,10009,2,3
HARD,55,6,4,1257,10009,2,3
HARD,23,6,4,1257,10009,2,0
SOFT,16,13,7,1257,10009,3,9
HARD,22,8,7,1257,10009,3,6
MEDIUM,63,6,1,1257,10009,1,0
SOFT,1,7,3,1257,10009,2,2
SOFT,27,7,7,1257,10009,3,6
HARD,31,12,7,1257,10009,3,6
MEDIUM,12,7,4,1257,10009,2,3
HARD,23,9,6,1257,10009,3,5
MEDIUM,6,7,4,1257,10009,2,3
MEDIUM,30,7,4,1257,10009,2,3
HARD,55,9,6,1257,10009,3,5
SOFT,5,10,7,1257,10009,3,0
MEDIUM,6,8,7,1257,10009,3,0
MEDIUM,30,8,7,1257,10009,3,6
MEDIUM,63,8,6,1257,10009,2,5
SOFT,22,11,8,1257,10009,4,0
SOFT,14,13,10,1257,10009,2,0
SOFT,23,12,9,1257,10009,4,0
SOFT,4,13,11,1257,10009,3,0
SOFT,5,12,10,1257,10009,4,3
SOFT,1,10,7,1257,10009,3,0
SOFT,10,13,10,1257,10009,4,0
SOFT,87,16,13,1257,10009,4,0
SOFT,7,13,10,1257,10009,4,0
SOFT,81,11,8,1257,10009,3,0
SOFT,6,11,8,1257,10009,4,0
SOFT,12,10,7,1257,10009,3,0
SOFT,30,11,8,1257,10009,4,0
SOFT,18,12,10,1257,10009,3,0
SOFT,31,15,12,1257,10009,4,0
SOFT,63,11,8,1257,10009,3,0
SOFT,55,12,9,1257,10009,4,0
SOFT,14,16,13,1257,10009,3,3
SOFT,4,16,13,1257,10009,4,0
SOFT,16,16,13,1257,10009,4,0
SOFT,44,16,13,1257,10009,4,0
SOFT,10,18,13,1257,10009,5,3
SOFT,7,16,13,1257,10009,5,3
SOFT,5,13,12,1257,10009,5,6
SOFT,18,16,12,1257,10009,4,2
SOFT,6,12,11,1257,10009,5,3
SOFT,23,16,12,1257,10009,5,3
SOFT,5,14,13,1257,10009,6,0
HARD,22,15,11,1257,10009,5,7
SOFT,30,14,11,1257,10009,5,0
SOFT,1,13,10,1257,10009,4,3
SOFT,16,19,16,1257,10009,5,3
SOFT,6,15,12,1257,10009,6,0
SOFT,55,15,12,1257,10009,5,3
SOFT,5,16,14,1257,10009,7,0
SOFT,12,12,10,1257,10009,4,3
SOFT,44,18,16,1257,10009,5,3
SOFT,81,13,11,1257,10009,4,3
HARD,87,18,16,1257,10009,5,12
SOFT,14,18,16,1257,10009,4,6
HARD,31,17,15,1257,10009,5,11
SOFT,63,13,11,1257,10009,4,0
SOFT,7,18,16,1257,10009,6,6
SOFT,4,18,16,1257,10009,5,5
