duration_sector_1,duration_sector_2,duration_sector_3,i1_speed,i2_speed,st_speed,segments_sector_1,segments_sector_2,segments_sector_3,tyre_age_at_start,compound_HARD,compound_MEDIUM,compound_SOFT,air_temperature,humidity,pressure,rainfall,track_temperature,wind_direction,wind_speed,laps_since_stint_start,stint_avg_pace,target
-0.5213980519321181,-0.5788191427683669,-0.6658335436524069,0.7047901600903493,0.6943801542662319,0.320265078994493,10.0,11.0,7.0,0.0,0.0,1.0,0.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,2.0,-0.7189419232122758,0.9131847733871372
-0.0364638669945463,1.7406619848357707,0.3640140391096207,-0.4392779913304645,-0.9111374565902494,-0.1798038132985286,10.0,11.0,7.0,0.0,0.0,1.0,0.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,2.0,0.2432540690544291,-0.5926675818225666
-0.6779848355890568,-0.776394548036864,-0.7492237314784768,0.7435721313249531,0.8165391029183554,0.6996276869409233,10.0,11.0,7.0,0.0,0.0,1.0,0.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,2.0,0.0169356290564755,-0.6433736848110294
-0.644045727663413,-0.7193117410352561,-0.6965562444304325,0.801745088176859,0.851441659676105,0.7341151967542351,10.0,11.0,6.0,0.0,1.0,0.0,0.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,2.0,0.3465351290219734,-0.4361633973624461
-0.4929358899944749,-0.6653455240710919,-0.7745664201386919,0.762963116942255,0.764185267781731,0.958284010540762,10.0,11.0,7.0,0.0,1.0,0.0,0.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,2.0,0.2309652607108773,-0.5330419189910861
-0.6484452416537742,-0.6689542072723433,-0.7564442740576445,0.8405270594114628,0.7292827110239815,0.5961651575009878,10.0,11.0,6.0,0.0,1.0,0.0,0.0,-1.0442911924132594,0.267531043144053,2.670448779468032,0.0,0.1787395937337656,76,-0.6775595529837853,2.0,-0.4939564246693079,0.7043351819978253
0.4908493098501794,0.8969682554887267,-0.4584199185841679,-1.3312633297263532,-0.684270837664877,-0.4729476467116792,10.0,11.0,7.0,0.0,0.0,1.0,0.0,-0.3685453020548533,0.0976666373720728,2.0963948877558067,0.0,0.9244313635408176,16,0.4836760049392088,3.0,-0.2050648315802564,1.5284892452395276
1.2121002462700123,1.1807419799507437,1.4179300971355395,-1.7578650133069955,-2.097824386353736,-1.317891637137819,10.0,11.0,7.0,0.0,1.0,0.0,0.0,-0.3685453020548533,0.0976666373720728,2.0963948877558067,0.0,0.9244313635408176,16,0.4836760049392088,3.0,-0.3890858476615456,-0.6489419232122757
-0.5738330758172401,-0.6483683099197515,-0.686787275058618,0.7435721313249531,0.851441659676105,0.4754588731543963,10.0,11.0,7.0,0.0,0.0,1.0,0.0,-0.3685453020548533,0.0976666373720728,2.0963948877558067,0.0,0.9244313635408176,16,0.4836760049392088,3.0,-0.6596166415537497,1.6726194863676531
1.407205223842562,1.63953683967344,0.3338576553966275,-1.971165855097317,-1.6440911485029908,-0.6281414408715825,10.0,11.0,7.0,0.0,1.0,0.0,0.0,-0.3685453020548533,0.0976666373720728,2.0963948877558067,0.0,0.9244313635408176,16,0.4836760049392088,3.0,-0.0752894369648511,-0.5054124444300594
