,0
duration_sector_1,0.30497931187860944
duration_sector_2,0.121689800369633
duration_sector_3,0.051604464833651754
i1_speed,0.055231600816876975
i2_speed,0.050613431095569865
st_speed,0.0710086481040133
segments_sector_1,0.0
segments_sector_2,0.0
segments_sector_3,0.00428293248577274
tyre_age_at_start,0.06667330354645157
compound_HARD,0.00801300769026919
compound_MEDIUM,0.013530864590704081
compound_SOFT,0.011202821505468636
air_temperature,0.023480239560366614
humidity,0.013005027714942838
pressure,0.023137277444246547
rainfall,0.0
track_temperature,0.05855236343305713
wind_direction,0.013448845297321935
wind_speed,0.013090931328265602
laps_since_stint_start,0.016379855557814488
stint_avg_pace,0.08007527274696424
