,MAE,RMSE,R2
LinearRegression,0.7991537577614635,1.0007301141207832,0.26739340279852497
RandomForest,0.745914741176271,1.000860057365994,0.26720313479725455
XGBoost,0.7357865903675598,1.0241080368817794,0.23276494726701213
