sample1,sample2
4798.421064230677,4812.704769026993
4795.306804400472,4821.921553909312
4813.718537217312,4822.3305521363245
4779.755804768854,4810.669248629895
4798.260516854984,4824.863874614934
4791.39342004134,4824.560466092329
4807.506588971582,4816.788855487988
4812.6234783030895,4822.321539798372
4792.518575075598,4818.779596331825
4814.41283372843,4804.256709290004
4786.52642380931,4822.211369364849
4792.99919666456,4820.161320261869
4800.653446186412,4827.205999194261
4815.054790963113,4821.902223430255
4800.25181691244,4828.101430440465
4805.667386489264,4809.190334897635
4815.95764040788,4826.451159370705
4804.5447029694005,4826.82307037039
4809.510435876797,4834.113832812405
4806.363589576373,4817.056543756654
4799.799959555251,4820.159782095444
4809.148772337776,4821.434396965045
4809.146245685171,4811.8146559790075
4804.358922569441,4830.552631953211
4783.839910952589,4807.718284393889
4794.43587793081,4824.969578441832
4806.2972683814305,4812.831280866676
4804.893561158168,4824.5413287732135
4803.086817275662,4827.594448632534
4799.294854576702,4816.7370750177815
4797.820278501586,4816.390744986168
4788.8244678908595,4815.737501697192
4793.62987048572,4823.215498426416
4787.2832274223365,4821.802702804083
4788.460039527784,4817.3407610194
4786.814964636715,4811.991953244363
4811.4904540268235,4825.368128944524
4798.347434630213,4846.8462040210115
4816.26382910889,4829.338886217535
4816.902921484007,4826.519708599327
4804.729968617984,4825.215371712041
4796.790709482976,4819.091337953759
4793.143016913655,4800.2142865855785
4812.893874644391,4817.5845083343465
4811.901111287563,4823.961209581527
4781.659421246895,4839.8725094999145
4801.763218397354,4814.656844312041
4805.293534463073,4836.1599809200525
4779.608940815977,4814.955273364138
4811.650442251975,4803.9014768621455
4798.85876394041,4817.251639781644
4781.686202514243,4829.277140568335
4804.865118852069,4818.380400411752
4788.266960894216,4823.184405461849
4778.626898408849,4806.427254433176
4794.557391180103,4817.981403210416
4808.473854073536,4821.6084324106405
4815.452474274297,4815.318163427348
4798.4659058625375,4824.815881029012
4807.343288832143,4819.183113204308
4808.966829028298,4818.108471039458
4800.805208185276,4791.311880794433
4788.2222337139465,4828.078730344736
4785.524951122029,4804.32710926628
4802.447075308979,4808.028827646315
4792.388696590662,4826.3733354872165
4805.301560252536,4802.614666373554
4803.886406089423,4821.445268001313
4784.946309494847,4823.27449741515
4807.076261573712,4821.553456027395
4806.196598188021,4820.266898879118
4794.84446262045,4808.907689001977
4800.939168471666,4826.089630577919
4800.530893713721,4817.8015635919555
4798.351257284209,4816.972743336565
4796.891711600674,4808.552591568679
4822.128010115739,4821.192336719449
4808.824877690445,4817.18227767754
4793.451358354077,4833.939265209465
4804.054504888858,4814.695609026695
4797.083005095858,4810.069141110765
4800.703466551074,4816.005406571614
4817.016866151919,4807.004618318017
4799.2534090366935,4825.736597359179
4805.740460556442,4819.694326892298
4807.610497679593,4832.955285975873
4802.560278368938,4813.596680210939
4784.864282345293,4826.153280426666
4794.20328161364,4838.205237151693
4810.8076569386885,4832.700217933137
4795.836603597977,4826.174464978356
4798.781089117914,4818.16252449349
4804.244172390634,4824.653993612462
4785.496963818423,4831.264418625876
4784.326684653937,4824.653826467044
4800.1872039634845,4828.993262678177
4806.048192304589,4826.235197337759
4807.588868416905,4809.69233164892
4784.305620149001,4805.502530460962
4802.473687749015,4811.137603120496
4785.201580119198,4810.0999153177645
4790.387704298195,4807.282790315895
4813.456935396728,4825.4994929380955
4796.9602596793775,4842.488206839671
4806.059544259554,4827.00514643483
4788.8266036454215,4822.453506499677
4805.579075817694,4827.839426895245
4810.4808743839685,4829.131939951211
4805.065943600703,4817.860992833088
4791.326713589718,4824.505429640049
4818.790429520587,4816.73004561135
4815.905708908614,4818.549425093337
4812.624119469533,4832.574428865287
4798.980953436729,4833.371152049433
4791.315810502184,4833.561605857681
4804.318163308316,4835.48339789056
4804.586563491182,4819.645056205375
4802.40207960673,4810.605750153618
4802.0245073178685,4830.579473438842
4810.733776992442,4811.451956855515
4805.125663170398,4812.335773535378
4814.599234913822,4824.034304326536
4797.425075197141,4815.71848772065
4790.744344201795,4835.749304164641
4807.133036672411,4832.012049000236
4796.625265825173,4814.768332643411
4810.717707970822,4807.358456744528
4799.776156391396,4822.281193332784
4811.027682048614,4828.063685508721
4800.600745428216,4825.793123093991
4793.509275066332,4815.192373642301
4795.43366176946,4797.826669230733
4812.1512061359745,4829.985737579711
4811.111575332138,4826.83226404344
4815.069993250619,4827.507938502337
4795.931799952585,4814.380071092543
4821.921106212689,4815.150237917396
4799.594158967175,4819.144976795013
4813.074674392446,4806.984087129089
4806.618158420106,4823.706219329025
4809.089884628391,4813.223500657998
4787.75492855548,4807.221855443535
4806.535528706497,4825.299955268345
4810.837832170444,4827.149720863991
4795.677845634764,4815.346483864755
4816.342149481569,4813.413183291958
4807.2405020162605,4827.169721464746
4811.6539245667645,4817.062059377463
4801.126171599384,4805.064578823252
4795.3207133108135,4816.319201417069
4787.262166821604,4796.66958754432
4812.51385773117,4818.637141440442
4790.590538145478,4813.24132026519
4787.759477128624,4833.891276259984
4796.480007242386,4812.512668976238
4801.717074370706,4833.805572939948
4797.297258219423,4820.860787100041
4802.221421212788,4810.076517290098
4784.164916820663,4823.814217286913
4799.136067416763,4812.109546409249
4813.070166022371,4834.526613109379
4827.799950736515,4821.051246472059
4822.157042633983,4822.434420252669
4811.123940069524,4828.333664702172
4810.337452243915,4817.597652639095
4805.6533244978955,4829.134603170695
4810.611243657924,4820.594055741301
4804.694211636657,4817.962513452305
4816.821740239114,4814.977397690478
4813.62865738208,4826.374489445083
4799.539574588025,4803.230612342168
4793.19564230143,4807.057749233887
4813.557408187998,4826.536767157326
4792.842300642777,4820.0355267333625
4785.577741090088,4814.111554839101
4798.032110090201,4816.201490283697
4798.090817660742,4821.189713074601
4799.759074059561,4824.531898196822
4810.404492175106,4807.9228300739605
4802.744565489844,4809.326027199563
4792.782164738926,4810.4189023132
4789.703951288348,4829.759201657276
4799.869227065546,4828.671457674948
4778.968064754694,4817.269358394761
4801.965695670926,4823.1047186702135
4795.695110199837,4818.445072131429
4793.687819927823,4819.503317937554
4802.981223174416,4826.13241934497
4785.846839801237,4816.594568891249
4797.610668441097,4833.892144953751
4786.581448411415,4823.064864693005
4794.328583076024,4795.833934047651
4780.431643333705,4817.135448051533
4799.301279196339,4819.222965615594
4818.044005002398,4815.33720202424
4793.955871355895,4820.37888679009
4793.401505425531,4812.569933361939
4823.682630695312,4814.89314667483
4801.244544139291,4817.976315210699
4809.837109413404,4834.160699349886
4815.051736196481,4831.651470739176
4794.506361375102,4826.684555390558
4803.058321532417,4809.985037970427
4791.466677357782,4824.370695273177
4803.163375698197,4817.4218734289325
4801.58393215255,4813.618234410809
4813.121498578721,4814.527445768804
4793.724976151908,4823.491250493435
4795.232180209444,4820.937995853662
4808.512393586506,4813.78383595647
4797.720804752126,4821.9687760517545
4802.293042915122,4821.740979781188
4804.674437776919,4828.2719045417725
4799.14701050732,4809.167794995869
4820.3293427205,4828.970833036569
4803.111513594423,4827.778906907325
4800.913091973543,4834.176886236594
4803.9801814773255,4810.433553760109
4805.131366966631,4818.358407158243
4786.881360874919,4825.910562863916
4799.940021198529,4830.958742172362
4802.830443755526,4814.902907699297
4798.159003407518,4821.735576431102
4788.694236138991,4832.14906499248
4805.562119280826,4826.324887016875
4806.038480066897,4815.735930542771
4819.651379699846,4818.727538466945
4774.4518635551885,4825.301245656065
4797.293904315079,4839.502518909013
4807.206458034193,4819.5538272216145
4789.632686154183,4834.079560683548
4801.30697777881,4831.719722493956
4800.426671663456,4816.816588635565
4804.901499714508,4813.619642221043
4801.6316763864015,4838.963343691997
4794.837047540192,4812.312840762122
4802.505793088627,4799.389594762486
4799.079554322123,4831.27721426006
4806.690647580011,4818.768126932589
4791.503925735178,4811.558140114126
4799.409572642023,4817.854010065036
4803.706217571194,4818.686394888657
4794.529597383249,4801.673339273291
4787.239918451958,4810.822439172123
4799.881580208864,4809.037913741659
4807.423516690354,4821.5409381306645
4798.663619618421,4827.562083899549
4793.1913741283515,4829.788580668679
4814.205272957375,4832.687137244724
4791.080065812331,4819.167121762061
4821.127349754795,4812.7248616704
4784.542373290089,4820.171077612839
4791.047225363679,4842.520327160593
4791.453869286017,4817.594092493657
4799.215003036798,4833.289369138399
4816.167411156608,4817.346929450157
4784.065713798869,4814.963870186421
4812.081206873669,4822.399543858062
4791.625578806673,4830.743705009547
4805.021709988247,4817.560190524816
4805.184682215143,4812.988663665858
4791.537051373362,4809.397638219606
4794.64331784232,4799.681239651819
4789.906455815779,4817.34222658262
4813.940287980162,4830.561295246489
4796.149374201798,4810.580876979749
4805.969462126083,4828.06768604709
4787.938631108017,4820.411256458503
4808.0051228958855,4823.543642160764
4803.372249066515,4845.9590481446285
4790.182967245332,4816.076117575644
4801.480396156252,4809.735970459729
4796.6810564806,4820.909609637531
4801.280722531579,4816.164742248992
4781.684147670207,4819.268827550177
4814.5005840590475,4822.231744247764
4795.228217394447,4815.403029514018
4819.444512903951,4832.385044623213
4805.542140007727,4794.034806927839
4799.89295854037,4817.205581108209
4804.868944674309,4805.9000660376
4796.62305299267,4818.200090415307
4797.178777668224,4816.462951668704
4786.531228414226,4817.0936381909305
4818.273361762983,4831.456596797152
4805.051039761774,4823.1059404591
4814.09668603313,4823.509287842013
4805.980069904849,4814.933425209586
4812.865755041327,4814.176962685413
4791.944929215995,4831.312883119859
4782.569706916924,4816.534089337087
4785.8739509366615,4823.770456691391
4784.820418999357,4823.263083367572
4796.421880837584,4818.823269728248
4789.204198806781,4833.35756643034
4795.49868668391,4791.500408558073
4819.661211596775,4825.357787039384
4789.5749159358875,4826.258321232718
4801.942287109449,4819.810091500701
4802.424689601231,4799.724982273912
4798.760922883329,4815.537107475571
4782.972979481406,4804.223339914681
4815.523403810599,4833.1738869587
4788.612539498526,4814.164532495365
4788.239034566259,4829.936781768962
4797.405206638081,4822.306781116123
4796.3617966937745,4817.446087963806
4797.164122146636,4831.463797207896
4808.163907752832,4806.813836139763
4797.180572651528,4811.549382826211
4785.159186133932,4824.372293739066
4808.34811448366,4812.640712423865
4792.754370062484,4812.205502636572
4804.223363470198,4814.2669784846885
4811.226205350412,4828.570626479857
4794.549210771608,4839.447123902078
4797.005425674441,4825.658486915532
4804.378784288723,4825.6931386725
4806.369908726077,4817.779180484352
4808.159318657766,4831.913691734092
4802.1020641004425,4813.562490832069
4784.475594156142,4813.749685823447
4820.241661830801,4806.437075594096
4825.808968910244,4818.04953728068
4813.545337276748,4827.942707425216
4802.552264586479,4820.997749175868
4803.136427560084,4836.808974264431
4797.352025827956,4818.24816314431
4785.498414978968,4831.719725117854
4786.363536161297,4818.206559987631
4799.596118542705,4818.233773225233
4806.683219844246,4828.472212038656
4814.822439056242,4830.658584575082
4813.12128745227,4817.36635025801
4803.229530580918,4832.745748182299
4806.8107813873685,4816.807573672391
4808.600536692936,4818.5334802651105
4787.55555395234,4832.318995571208
4802.44984403441,4814.568386257321
4799.078296213754,4809.306940073744
4821.016056238015,4827.5346935559655
4808.924916386073,4827.032097019298
4791.11752920678,4819.256914819603
4788.954203788446,4813.558736846368
4795.66029569685,4815.962356346321
4792.335176878334,4846.925274878103
4796.84051598762,4821.160179425219
4807.483889308345,4803.779180826683
4805.204377730804,4813.21711209349
4795.615309278328,4823.037697312728
4818.580258459426,4826.23302606206
4807.512330721356,4812.266027404802
4797.545795008002,4823.816341623275
4811.88703620045,4831.95444682051
4790.842219171792,4802.573711393237
4789.5083829408195,4815.90388932646
4807.286814395327,4839.2394748684865
4800.145456120068,4818.5807322410565
4791.912817015693,4823.599427198612
4799.295508690113,4824.974192172301
4809.954569395655,4811.605778834128
4819.462325374255,4804.372044986774
4803.448722203339,4827.268486859672
4798.534338839371,4838.683753687897
4794.61184115087,4841.857031938474
4806.980035508479,4813.79075991876
4784.632936010003,4815.599144665123
4802.876358999505,4823.784491207685
4813.95518872318,4820.198679935117
4803.617476737536,4804.775630068325
4818.331627418615,4820.398272991559
4793.099048650412,4816.023546406317
4789.442014271579,4816.487248211209
4777.390921464053,4827.172186588104
4811.692937643215,4830.128280222481
4805.732714418691,4807.040958260823
4791.322655701328,4815.113563230986
4796.471940126015,4836.048653714176
4806.512068253588,4833.10705385563
4794.241729005343,4810.142743857694
4796.514382825407,4826.532262600928
4797.3846210187585,4820.5561879748
4792.909209724068,4823.638232678168
4802.624136589658,4825.763631306631
4804.357212971826,4799.364339451328
4810.120498170503,4799.138549472782
4815.745788429057,4827.715423647943
4807.1131532864765,4828.057701368024
4798.36833351043,4828.2755579565555
4802.7719377105805,4813.078348203726
4809.705105333206,4826.1100867625655
4783.590110677758,4795.452413746667
4804.0439699816425,4837.739170955787
4809.425545504787,4840.391296824264
4788.170378306439,4816.7149893454625
4807.630133982528,4816.639180580773
4806.754492856861,4819.405616757158
4785.793037002826,4807.400955526704
4805.7150141957545,4804.852282727604
4805.644897385082,4816.5811553418935
4807.67814040088,4829.948572914464
4799.856980865773,4816.2922463106715
4801.176333537942,4809.280238559572
4810.2651796043065,4839.707595581932
4798.098289884749,4813.803988063671
4803.415813113385,4823.569033344942
4796.581600162876,4821.753015933901
4796.169887882679,4809.012635777388
4811.711432892881,4824.534810246543
4779.7030821623175,4834.983323943462
4802.183736078899,4814.8767541135585
4796.781292002168,4829.790434803557
4781.248036115879,4810.313416464851
4785.329598753649,4815.117146331649
4797.811837524663,4833.61525747283
4792.860202282292,4825.002322290019
4808.111966714712,4834.9679772372465
4806.69891183793,4828.1825744920125
4793.820058020144,4823.354945189076
4797.909154764361,4816.932704999497
4813.341628385992,4828.245652118954
4816.886837333017,4818.568117193414
4779.1986632404605,4822.260538782805
4813.215674263912,4825.337285001534
4808.092661834018,4827.622687711024
4803.135621053653,4803.59966126557
4798.779828680993,4830.291035833112
4794.761162409411,4828.5341346057185
4781.032303054706,4805.296582137389
4808.024651541159,4816.220962680597
4819.686723491045,4816.70711053666
4820.5816583610895,4835.355948743615
