fold,MAE,RMSE
1,0.7246897747592723,1.0068442488152036
2,0.9238868425558585,1.2150357119024933
3,0.7908604453951819,1.0449828374964258
4,0.8134401221486841,1.1187981135803213
5,0.8560209953513993,1.116228842620704
